GivenName,SurnameCount,Female,Male,Gender,pVal
あい,7,7,0,f,1.91762446775101E-05
アイ子,2,2,0,f,0.044897086918354
あおい,4,4,0,f,0.00201574829407036
あかね,11,11,0,f,3.86544840580427E-08
あかり,9,9,0,f,8.60957527493156E-07
あき,4,4,0,f,0.00201574829407036
あきみ,2,2,0,f,0.044897086918354
あき子,5,5,0,f,0.000427115563070402
あけみ,9,9,0,f,8.60957527493156E-07
あすか,10,10,0,f,1.82427712047684E-07
あずさ,12,12,0,f,8.19047318856292E-09
あずみ,4,4,0,f,0.00201574829407036
あづさ,3,3,0,f,0.00951321329921484
あつみ,2,2,0,f,0.044897086918354
あつ子,2,2,0,f,0.044897086918354
あや,4,4,0,f,0.00201574829407036
あやか,2,2,0,f,0.044897086918354
あやめ,3,3,0,f,0.00951321329921484
あゆみ,39,39,0,f,0.00100000004749745
あゆ美,3,3,0,f,0.00951321329921484
ありさ,2,2,0,f,0.044897086918354
いさ子,2,2,0,f,0.044897086918354
いずみ,6,6,0,f,9.05012275325134E-05
いつか,2,2,0,f,0.044897086918354
いづみ,18,18,0,f,7.41247883385976E-13
いつ子,2,2,0,f,0.044897086918354
えみり,2,2,0,f,0.044897086918354
エリカ,2,2,0,f,0.044897086918354
えりか,5,5,0,f,0.000427115563070402
えりな,2,2,0,f,0.044897086918354
えり子,4,4,0,f,0.00201574829407036
かおり,57,57,0,f,0.00100000004749745
かおる,12,11,1,f,3.7375860983957E-07
かすみ,5,5,0,f,0.000427115563070402
かなみ,2,2,0,f,0.044897086918354
かな子,2,2,0,f,0.044897086918354
かほり,3,3,0,f,0.00951321329921484
かほる,4,4,0,f,0.00201574829407036
かよ,2,2,0,f,0.044897086918354
かをり,4,4,0,f,0.00201574829407036
きよの,2,2,0,f,0.044897086918354
キヨミ,2,2,0,f,0.044897086918354
きよみ,3,3,0,f,0.00951321329921484
くみ,2,2,0,f,0.044897086918354
くるみ,4,4,0,f,0.00201574829407036
ケイ,2,2,0,f,0.044897086918354
けい,2,2,0,f,0.044897086918354
けい子,2,2,0,f,0.044897086918354
こころ,4,4,0,f,0.00201574829407036
こずえ,7,7,0,f,1.91762446775101E-05
こず恵,3,3,0,f,0.00951321329921484
さおり,24,24,0,f,0.00100000004749745
さくら,16,16,0,f,1.65099323101714E-11
さつき,12,12,0,f,8.19047318856292E-09
さとみ,12,12,0,f,8.19047318856292E-09
さと子,5,5,0,f,0.000427115563070402
さなえ,3,3,0,f,0.00951321329921484
さやか,20,20,0,f,3.32798702875128E-14
さや香,3,3,0,f,0.00951321329921484
サユリ,2,2,0,f,0.044897086918354
さゆり,20,20,0,f,3.32798702875128E-14
さよ子,2,2,0,f,0.044897086918354
しおり,3,3,0,f,0.00951321329921484
しずか,2,2,0,f,0.044897086918354
しのぶ,21,21,0,f,7.05164923577983E-15
しほり,2,2,0,f,0.044897086918354
すみえ,2,2,0,f,0.044897086918354
すみれ,6,6,0,f,9.05012275325134E-05
せき子,2,2,0,f,0.044897086918354
そら,2,2,0,f,0.044897086918354
たか子,2,2,0,f,0.044897086918354
たつ江,2,2,0,f,0.044897086918354
たづ子,2,2,0,f,0.044897086918354
たまき,3,3,0,f,0.00951321329921484
ちあき,3,3,0,f,0.00951321329921484
ちえ,2,2,0,f,0.044897086918354
ちか,3,3,0,f,0.00951321329921484
ちとせ,4,4,0,f,0.00201574829407036
ちなみ,2,2,0,f,0.044897086918354
ちはる,3,3,0,f,0.00951321329921484
ちひろ,12,12,0,f,8.19047318856292E-09
ちほ,2,2,0,f,0.044897086918354
つぐみ,5,5,0,f,0.000427115563070402
てるみ,3,3,0,f,0.00951321329921484
としみ,2,2,0,f,0.044897086918354
とし子,5,5,0,f,0.000427115563070402
ともみ,5,5,0,f,0.000427115563070402
トモ子,3,3,0,f,0.00951321329921484
とも子,8,8,0,f,4.06324170398875E-06
ナオミ,2,2,0,f,0.044897086918354
なおみ,4,4,0,f,0.00201574829407036
なお子,3,3,0,f,0.00951321329921484
なぎさ,6,6,0,f,9.05012275325134E-05
なつみ,3,3,0,f,0.00951321329921484
なつ美,3,3,0,f,0.00951321329921484
なる美,2,2,0,f,0.044897086918354
のぞみ,10,10,0,f,1.82427712047684E-07
のどか,3,2,1,b,0.115664832293987
のり子,9,9,0,f,8.60957527493156E-07
はづき,4,4,0,f,0.00201574829407036
はな,2,2,0,f,0.044897086918354
はるか,5,5,0,f,0.000427115563070402
はるな,4,4,0,f,0.00201574829407036
はるみ,6,6,0,f,9.05012275325134E-05
ひかり,6,6,0,f,9.05012275325134E-05
ひかる,8,8,0,f,4.06324170398875E-06
ひづる,2,2,0,f,0.044897086918354
ひとみ,49,49,0,f,0.00100000004749745
ひな,3,3,0,f,0.00951321329921484
ひろみ,31,31,0,f,0.00100000004749745
ヒロ子,2,2,0,f,0.044897086918354
ひろ子,3,3,0,f,0.00951321329921484
ひろ美,3,3,0,f,0.00951321329921484
ふみ,4,4,0,f,0.00201574829407036
ふみえ,2,2,0,f,0.044897086918354
ほのか,4,4,0,f,0.00201574829407036
マキ,2,2,0,f,0.044897086918354
まき子,3,3,0,f,0.00951321329921484
まさみ,5,4,1,f,0.00837027933448553
まさ子,3,3,0,f,0.00951321329921484
まさ美,2,2,0,f,0.044897086918354
ますみ,8,8,0,f,4.06324170398875E-06
まち子,2,2,0,f,0.044897086918354
まどか,8,8,0,f,4.06324170398875E-06
まなみ,3,3,0,f,0.00951321329921484
まみ,2,2,0,f,0.044897086918354
まや,4,4,0,f,0.00201574829407036
まゆ,3,3,0,f,0.00951321329921484
まゆみ,30,30,0,f,0.00100000004749745
