GivenName,Gender,FullName,Reference
あい,f,斉川 あい,https://ja.wikipedia.org/wiki/%E6%96%89%E5%B7%9D%E3%81%82%E3%81%84
あい,f,加藤 あい,https://ja.wikipedia.org/wiki/%E5%8A%A0%E8%97%A4%E3%81%82%E3%81%84
あい,f,高部 あい,https://ja.wikipedia.org/wiki/%E9%AB%98%E9%83%A8%E3%81%82%E3%81%84
あい,f,高松 あい,https://ja.wikipedia.org/wiki/%E9%AB%98%E6%9D%BE%E3%81%82%E3%81%84
あい,f,金子 あい,https://ja.wikipedia.org/wiki/%E9%87%91%E5%AD%90%E3%81%82%E3%81%84
あい,f,葉月 あい,https://ja.wikipedia.org/wiki/%E8%91%89%E6%9C%88%E3%81%82%E3%81%84
あいか,f,行平 あいか,https://ja.wikipedia.org/wiki/%E8%A1%8C%E5%B9%B3%E3%81%82%E3%81%84%E4%BD%B3
アイク,m,アイク ぬわら,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%82%AF%E3%81%AC%E3%82%8F%E3%82%89
あいこ,f,たかはし あいこ,https://ja.wikipedia.org/wiki/%E3%81%9F%E3%81%8B%E3%81%AF%E3%81%97%E3%81%82%E3%81%84%E3%81%93
アイコ,f,松本 アイコ,https://ja.wikipedia.org/wiki/%E6%9D%BE%E6%9C%AC%E3%82%A2%E3%82%A4%E3%82%B3
あいこ,f,いとう あいこ,https://ja.wikipedia.org/wiki/%E3%81%84%E3%81%A8%E3%81%86%E3%81%82%E3%81%84%E3%81%93
アイザック,m,生馬 アイザック,https://ja.wikipedia.org/wiki/%E7%94%9F%E9%A6%AC%E3%82%A2%E3%82%A4%E3%82%B6%E3%83%83%E3%82%AF
あいみ,f,いけなが あいみ,https://ja.wikipedia.org/wiki/%E3%81%84%E3%81%91%E3%81%AA%E3%81%8C%E3%81%82%E3%81%84%E3%81%BF
あいみ,f,水瀬 あいみ,https://ja.wikipedia.org/wiki/%E6%B0%B4%E7%80%AC%E3%81%82%E3%81%84%E3%81%BF
あいり,f,丘野 あいり,https://ja.wikipedia.org/wiki/%E4%B8%98%E9%87%8E%E3%81%82%E3%81%84%E3%82%8A
あいり,f,希島 あいり,https://ja.wikipedia.org/wiki/%E5%B8%8C%E5%B3%B6%E3%81%82%E3%81%84%E3%82%8A
あいり,f,三田 あいり,https://ja.wikipedia.org/wiki/%E4%B8%89%E7%94%B0%E3%81%82%E3%81%84%E3%82%8A
あいり,f,清水 あいり,https://ja.wikipedia.org/wiki/%E6%B8%85%E6%B0%B4%E3%81%82%E3%81%84%E3%82%8A
アイル,m,汐崎 アイル,https://ja.wikipedia.org/wiki/%E6%B1%90%E5%B4%8E%E3%82%A2%E3%82%A4%E3%83%AB
あおい,f,宮﨑 あおい,https://ja.wikipedia.org/wiki/%E5%AE%AE%EF%A8%91%E3%81%82%E3%81%8A%E3%81%84
あおい,f,麻田 あおい,https://ja.wikipedia.org/wiki/%E9%BA%BB%E7%94%B0%E3%81%82%E3%81%8A%E3%81%84
あかね,f,久野 あかね,https://ja.wikipedia.org/wiki/%E4%B9%85%E9%87%8E%E3%81%82%E3%81%8B%E3%81%AD
あかね,f,海宝 あかね,https://ja.wikipedia.org/wiki/%E6%B5%B7%E5%AE%9D%E3%81%82%E3%81%8B%E3%81%AD
あかね,f,室町 あかね,https://ja.wikipedia.org/wiki/%E5%AE%A4%E7%94%BA%E3%81%82%E3%81%8B%E3%81%AD
あかね,f,古賀 あかね,https://ja.wikipedia.org/wiki/%E5%8F%A4%E8%B3%80%E3%81%82%E3%81%8B%E3%81%AD
あかね,f,井上 あかね,https://ja.wikipedia.org/wiki/%E3%81%84%E3%81%AE%E3%81%86%E3%81%88%E3%81%82%E3%81%8B%E3%81%AD
あかね,f,川崎 あかね,https://ja.wikipedia.org/wiki/%E5%B7%9D%E5%B4%8E%E3%81%82%E3%81%8B%E3%81%AD
あかね,f,金澤 あかね,https://ja.wikipedia.org/wiki/%E9%87%91%E6%BE%A4%E3%81%82%E3%81%8B%E3%81%AD
あかり,f,路川 あかり,https://ja.wikipedia.org/wiki/%E8%B7%AF%E5%B7%9D%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,内田 あかり,https://ja.wikipedia.org/wiki/%E5%86%85%E7%94%B0%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,髙石 あかり,https://ja.wikipedia.org/wiki/%E9%AB%99%E7%9F%B3%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,町野 あかり,https://ja.wikipedia.org/wiki/%E7%94%BA%E9%87%8E%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,木月 あかり,https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9C%88%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,木下 あかり,https://ja.wikipedia.org/wiki/%E6%9C%A8%E4%B8%8B%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,久路 あかり,https://ja.wikipedia.org/wiki/%E4%B9%85%E8%B7%AF%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,工藤 あかり,https://ja.wikipedia.org/wiki/%E5%B7%A5%E8%97%A4%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,寺島 あかり,https://ja.wikipedia.org/wiki/%E5%AF%BA%E5%B3%B6%E3%81%82%E3%81%8B%E3%82%8A
あかり,f,早見 あかり,https://ja.wikipedia.org/wiki/%E6%97%A9%E8%A6%8B%E3%81%82%E3%81%8B%E3%82%8A
あか梨,f,川勝 あか梨,https://ja.wikipedia.org/wiki/%E5%B7%9D%E5%8B%9D%E3%81%82%E3%81%8B%E6%A2%A8
あき,f,清水 あき,https://ja.wikipedia.org/wiki/%E6%B8%85%E6%B0%B4%E3%81%82%E3%81%8D
あき,f,菅原 あき,https://ja.wikipedia.org/wiki/%E8%8F%85%E5%8E%9F%E3%81%82%E3%81%8D
あき,f,中野 あき,https://ja.wikipedia.org/wiki/%E4%B8%AD%E9%87%8E%E3%81%82%E3%81%8D
あき,f,渚 あき,https://ja.wikipedia.org/wiki/%E6%B8%9A%E3%81%82%E3%81%8D
あき,f,朝倉 あき,https://ja.wikipedia.org/wiki/%E6%9C%9D%E5%80%89%E3%81%82%E3%81%8D
あき,f,深田 あき,https://ja.wikipedia.org/wiki/%E6%B7%B1%E7%94%B0%E3%81%82%E3%81%8D
あきえ,f,鈴木 あきえ,https://ja.wikipedia.org/wiki/%E9%88%B4%E6%9C%A8%E3%81%82%E3%81%8D%E3%81%88
